id,category,checklistname,key,value,remark,component
31,biz/production/video/streaming,Dress Rehearsal Zoom Interview - Participant,"In the Dress Rehearsal, can Original Sound be set to On?",,,
32,biz/production/video/streaming,Dress Rehearsal Zoom Interview - Participant,Is the microphone level adjustable?,,,
33,biz/production/video/streaming,Dress Rehearsal Zoom Interview - Participant,Is the loudness meter visible to the participant?,,,
34,biz/production/video/streaming,Dress Rehearsal Zoom Interview - Host,Can the participant be pinned manually?,,,
35,biz/production/video/streaming,Dress Rehearsal Zoom Interview - Host,Can the participant be pinned by e.g. ZoomOSC?,,,
36,biz/production/video/streaming,Dress Rehearsal Zoom Interview - Host,What is the participant's Zoom name?,,,
37,biz/production/video/streaming,Dress Rehearsal Zoom Interview - Host,Can the participant be scraped from a (virtual) monitor with Zoom in fullscreen?,,,
38,biz/production/video/streaming,Dress Rehearsal Zoom Interview - Host,Will the participant be fed into OBS with a Window Capture?,,,
39,biz/production/video/streaming,Dress Rehearsal Zoom Interview - Host,a,,,
40,biz/production/video/streaming,Dress Rehearsal Zoom Interview - Host,b,,,
41,biz/production/video/streaming,Dress Rehearsal Zoom Interview - Host,c,,,
42,biz/production/video/streaming,Dress Rehearsal Zoom Interview - Host,d,,,
43,biz/production/video/streaming,Dress Rehearsal Zoom Interview - Host,e,,,
44,biz/production/video/streaming,Dress Rehearsal Zoom Interview - Host,f,,,
45,biz/production/video/streaming,Dress Rehearsal Zoom Interview - Host,g,,,
46,biz/production/video/streaming,Dress Rehearsal Zoom Interview - Host,h,,,
47,biz/production/video/streaming,Dress Rehearsal Zoom Interview - Host,i,,,
48,biz/production/video/streaming,Dress Rehearsal Zoom Interview - Host,j,,,
49,biz/production/video/streaming,Dress Rehearsal Zoom Interview - Host,k,,,
50,tec,Windows 10 Audio Recording Inventory,ASIO existing?,,,
51,tec,Windows 10 Audio Recording Inventory,What recording software is used?,,,
52,tec,Windows 10 Audio Recording Inventory,Does the recording sioftware also function as a communication software?,,,
53,tec,Windows 10 Audio Recording Inventory,What is the Default Device for Recording?,,,
54,tec,Windows 10 Audio Recording Inventory,What is the Default Device for Playback?,,,
55,tec,Windows 10 Audio Recording Inventory,What is the Default Communication Device for Recording?,,,
56,tec,Windows 10 Audio Recording Inventory,What is the Default Communication Device for Playback?,,,
57,tec,Windows 10 Audio Recording Inventory,"If an audio interface is used, does it have a monitoring output?",,,
58,tec,Windows 10 Audio Recording Inventory,"If an audio interface is used, which driver type is used?",WDM/ASIO,,
59,tec,Windows 10 Audio Recording Inventory,"If an audio interface is used, does it come with a Bitfocus Companion module?",,,
60,tec,Windows 10 Audio Recording Inventory,"If an external microphone is used, what cable does it have?",,,
61,tec,Windows 10 Audio Recording Inventory,"If an external microphone is used, does it need phantom power?",,,
62,tec,Windows 10 Audio Recording Inventory,"If an external microphone is used, what is its polar pattern?",48V,,
63,tec,Windows 10 Audio Recording Inventory,"If an external microphone is used, ",XLR/3.5mm/(6.3mm),,
64,tec,Windows 10 Audio Recording Inventory,"If an external microphone is used,",,,
65,tec,Windows 10 Audio Recording Inventory,The Sound Settings of the Default Device for Recording has which level set?,100%,,
66,tec,Windows 10 Audio Recording Inventory,The Sound Settings of the Default Device for Recording show which sample rate?,48000 Hz,,
67,tec,Windows 10 Audio Recording Inventory,The Sound Settings of the Default Device for Recording show which setting for exclusive mode?,allow and/or priority?,,
68,tec,Windows 10 Audio Recording Inventory,"In the Volume Mixer, which output levels are set?",100%,,
69,tec,Windows 10 Audio Recording Inventory,"In the ""App volume and device preferences"", which App Volume levels are set for Output?",100%,,
70,tec,Windows 10 Audio Recording Inventory,"In the ""App volume and device preferences"", which App Volume levels are set for Input?",100%,,
71,,Windows 10 Audio Recording Inventory,"In the recording software, which input device is set?",specific device or default device?,,
72,,Windows 10 Audio Recording Inventory,Is something plugged into headphone/speaker/microphone jack(s)?,,,
73,,,,,,
74,,,,,,
75,,,,,,
