Hour,Longitude,Latitude,Elevation,Cumulative Time (hours)
83,-112.883212,37.592431,2776.75,83.00042472222222
84,-112.842879,37.579564,3057.5,84.00624777777779
85,-112.824514,37.652879,3235.75,85.00041055555556
86,-112.601276,37.736636,2453.0,86.00008083333334
87,-112.433728,37.826417,2017.25,87.00039861111111
88,-112.435028,37.735582,2258.25,88.00333027777778
89,-112.312832,37.744756,2212.75,89.00316861111111
90,-112.155756,37.693347,2318.75,90.01694027777778
91,-111.993129,37.562529,1837.0,91.00742138888889
92,-111.893563,37.616446,2052.75,92.00447027777777
93,-111.827207,37.673955,2214.75,93.00008944444444
94,-111.576715,37.760179,1773.75,94.0060338888889
95,-111.445851,37.750302,1749.0,95.00061277777777
96,-111.412191,37.819287,1846.75,96.00258722222223
97,-111.430663,37.901032,1995.5,97.00698916666667
98,-111.431349,37.971892,2289.25,98.00805138888889
99,-111.405072,38.005724,2638.5,99.0004561111111
100,-111.334724,38.033673,2901.75,100.00047416666666
101,-111.349516,38.181998,2412.0,101.00022416666665
102,-111.338012,38.322415,1901.75,102.00465583333333
103,-111.127041,38.283884,1518.75,103.00049888888888
104,-110.978119,38.347385,1396.0,104.00106972222223
105,-110.754699,38.372225,1329.25,105.00072916666667
106,-110.650186,38.243067,1463.25,106.05476583333333
107,-110.618212,38.124127,1569.0,107.0267711111111
108,-110.490663,37.962869,1261.5,108.0007813888889
109,-110.398145,37.913246,1159.0,109.00399111111112
110,-110.34602,37.872637,1338.75,110.00002777777777
111,-110.294414,37.784732,1454.0,111.02180055555556
112,-110.213131,37.677403,1529.5,112.0011475
113,-110.112585,37.644426,1736.75,113.00386055555555
114,-110.012709,37.562498,1903.75,114.00364416666667
115,-109.891585,37.583281,2079.0,115.00170138888889
116,-109.64921,37.508683,1521.0,116.01301333333333
117,-109.598217,37.561767,1664.75,117.00145833333333
118,-109.484481,37.573606,1757.75,118.00013027777777
119,-109.430637,37.676052,1911.0,119.02101472222222
120,-109.400721,37.745027,2195.5,120.00218444444444
121,-109.340402,37.872603,2153.75,121.00774944444444
122,-109.117709,37.87294,2084.25,122.0665725
123,-109.083796,38.018071,2176.5,123.01965111111112
124,-109.004355,37.910028,2141.0,124.00513333333333
125,-108.940608,37.765073,2068.25,125.00809666666666
126,-108.808646,37.671605,2044.5,126.00104972222222
127,-108.738751,37.547004,2122.5,127.00000444444444
128,-108.608617,37.48734,2095.25,128.0034625
129,-108.432806,37.475057,2167.5,129.0980536111111
130,-108.348031,37.590289,2261.0,130.0195888888889
131,-108.197016,37.576741,2420.0,131.001015
132,-108.065591,37.635081,2579.0,132.0244588888889
133,-108.028384,37.732429,2760.25,133.00434388888888
134,-107.944354,37.787833,3023.25,134.00450472222224
135,-107.88542,37.878356,2918.0,135.00365166666666
136,-108.027999,37.993976,2276.75,136.00043194444444
137,-108.00423,38.08651,2445.0,137.01076166666667
138,-107.898059,38.097042,2722.75,138.00165777777778
139,-107.7971,38.173989,2201.0,139.00485055555555
140,-107.822217,38.251535,2328.0,140.0015138888889
141,-107.872711,38.442072,1804.75,141.00149583333334
142,-107.775021,38.479574,1928.25,142.00332666666668
143,-107.685424,38.462514,2164.5,143.02379305555556
144,-107.571631,38.44094,2152.5,144.00662694444446
145,-107.47695,38.395684,2388.25,145.0000486111111
146,-107.405515,38.416312,2523.25,146.0185036111111
147,-107.274302,38.460096,2392.75,147.0019525
148,-107.127632,38.475615,2331.75,148.00073277777778
149,-106.942649,38.536592,2338.75,149.00220055555556
150,-106.762594,38.516872,2418.0,150.0064463888889
151,-106.580421,38.441037,2475.5,151.00075111111113
152,-106.420073,38.405274,2580.25,152.00072972222222
153,-106.363231,38.441539,2907.0,153.0000588888889
154,-106.335896,38.475459,3252.0,154.00469583333333
155,-106.217377,38.54177,2597.5,155.0035988888889
156,-105.954893,38.504744,2136.0,156.00092916666665
157,-105.968156,38.462762,2492.0,157.0150011111111
158,-105.962376,38.438969,2709.5,158.0001538888889
159,-105.913325,38.412645,2743.0,159.01263083333333
160,-105.855066,38.377947,2673.75,160.01656555555556
161,-105.735313,38.361053,2003.5,161.01831055555553
162,-105.674975,38.326022,2192.25,162.00293250000001
163,-105.576845,38.249643,2310.75,163.00374722222222
164,-105.46532,38.13482,2405.75,164.00081277777778
165,-105.347429,38.142027,2660.5,165.02580388888887
166,-105.145636,38.173471,2248.0,166.00005555555555
167,-104.886737,38.259365,1589.75,167.0160736111111
168,-104.682998,38.258737,1452.5,168.00403333333333
169,-104.4869,38.245847,1405.25,169.001345
170,-104.274623,38.250962,1366.5,170.00883888888887
171,-104.058035,38.164385,1337.0,171.00161694444444
172,-103.82314,38.201742,1322.0,172.00310027777778
173,-103.575188,38.251367,1314.5,173.0616161111111
174,-103.349062,38.316255,1301.5,174.08081972222223
175,-103.211925,38.448694,1362.0,175.08975861111114
176,-102.983998,38.498896,1339.75,176.09928000000002
177,-102.760574,38.484033,1282.0,177.00791055555555
178,-102.519656,38.439703,1184.5,178.0191
179,-102.297293,38.465818,1239.75,179.01953277777778
180,-102.045064,38.46855,1190.0,180.00179722222222
181,-101.775672,38.465687,1112.5,181.01414333333332
182,-101.513141,38.47792,1044.75,182.0351513888889
183,-101.256783,38.481739,980.25,183.02580222222224
184,-101.000087,38.482254,931.5,184.01783361111112
185,-100.741587,38.482996,895.75,185.03914
186,-100.493221,38.482052,856.75,186.00190694444444
187,-100.240855,38.462393,808.25,187.0175536111111
188,-99.979908,38.450479,715.25,188.00615166666665
189,-99.725439,38.451039,666.75,189.00108
190,-99.474507,38.468352,630.0,190.00244305555557
191,-99.326725,38.539107,635.0,191.00463055555556
192,-99.082452,38.539313,616.75,192.00220416666667
193,-98.823792,38.535984,575.0,193.0187038888889
194,-98.601907,38.521845,564.0,194.00632972222223
195,-98.355052,38.514746,537.75,195.00065694444444
196,-98.109066,38.522232,529.0,196.0096586111111
197,-97.885312,38.565884,454.5,197.00053527777777
198,-97.654879,38.550975,414.5,198.0020652777778
199,-97.431631,38.551059,411.75,199.0084152777778
200,-97.209066,38.551311,449.25,200.01697194444446
201,-96.985658,38.565986,448.25,201.01760361111113
202,-96.750521,38.562215,408.5,202.00055500000002
203,-96.591522,38.629602,414.0,203.0196325
204,-96.366438,38.666767,382.5,204.01115388888888
205,-96.147394,38.658792,396.0,205.00087833333333
206,-95.907897,38.651612,358.25,206.00619083333333
207,-95.723327,38.709901,331.75,207.02611694444442
208,-95.556336,38.753247,341.5,208.0168852777778
209,-95.39971,38.808715,337.25,209.00608666666668
210,-95.198602,38.825975,282.75,210.00207611111114
211,-95.007779,38.855013,294.75,211.006755
212,-94.806834,38.873312,322.0,212.00165083333331
213,-94.695858,39.016485,284.5,213.0007913888889
